lang,key,labse_score,cometkiwi_score,avg_score,fr,translation
km,common:aria.closeControls,0.749,0.499,0.624,Fermer les contrôles,បិទការគ្រប់គ្រង
id,game:game.aria.trialTimer,0.671,0.577,0.624,Minuteur d'essai,Pengatur waktu percobaan
sw,settings:settings.gameMode.gameOfDiceDesc,0.746,0.502,0.624,Choisissez des combinaisons de dés avec des probabilités explicites pour mesurer la prise de risque,Chagua michanganyiko ya kete na uwezekano wa wazi wa kupima ufanyaji maamuzi hatari
bn,game:game.puzzle.fireLasersMarkBalls,0.764,0.484,0.624,"Tirez des lasers depuis les bords, puis marquez les positions des billes","প্রান্ত থেকে ফায়ার লেজার, তারপর বল অবস্থান চিহ্নিত"
my,game:replay.tapSlotToPlace,0.684,0.564,0.624,Tapez sur un slot pour placer,နေရာအတွက် အထိုင်တစ်ခုကို နှိပ်ပါ။
ro,game:game.delayedMatching.rememberThisPattern,0.806,0.442,0.624,Mémorisez ce motif,Amintiți-vă de acest model
te,tutorial:tutorial.pick.rhythm,0.718,0.53,0.624,"En session, gardez un rythme régulier. La fluidité vient avec la pratique.","సెషన్‌లో, సాధారణ లయను ఉంచండి. సాధనతో ద్రవత్వం వస్తుంది."
da,stats:stats.contextual.insights.missTendencyV2,0.702,0.546,0.624,Tendance aux omissions,Tendens til at savne
sw,stats:report.dualTrack.replayTitle,0.646,0.602,0.624,Replay Dual Track,Mchezo wa Marudio wa Wimbo Mbili
fi,stats:report.goNogo.inhibitionControl,0.69,0.558,0.624,Contrôle d'inhibition,Inhibitiohallinta
sw,auth:auth.resetPassword.success,0.759,0.489,0.624,Mot de passe mis à jour !,Nenosiri limesasishwa!
fi,game:game.cogTask.startingSpan,0.617,0.631,0.624,Empan de départ,Aloitusjänne
el,stats:stats.contextual.sublines.analystFallback,0.724,0.524,0.624,"{{correct}} bonnes réponses, {{errors}} erreurs. Cherchez d'abord le type d'erreur dominant.","{{correct}} σωστές απαντήσεις, {{errors}} σφάλματα. Συμβουλή: εντόπισε αν το μοτίβο είναι παραλείψεις ή απαντήσεις σε μη-στόχους."
sw,stats:stats.confidence.flowTitle,0.675,0.573,0.624,Confiance Dual Place,Kujiamini kwa Mahali Pawili
ms,game:game.syncHud.labels.lagShow,0.777,0.471,0.624,retard affichage,Paparan ketinggalan
hu,game:game.negativePriming.title,0.78,0.468,0.624,Amorçage négatif,Negatív előfeszítés
nl,stats:stats.placeholders.advancedEvolutionTitle,0.764,0.484,0.624,Évolution avancée par mode,Geavanceerde trends per modus
ko,settings:settings.mode.showProgressBar,0.594,0.654,0.624,Barre de progression,진행 바 표시
km,game:game.informationSampling.meanTilesFree,0.795,0.453,0.624,Tuiles moyennes (gratuit),ប្លុកមធ្យម (ឥតគិតថ្លៃ)
it,game:game.mirrorTracing.xIsMirrored,0.799,0.449,0.624,X est inversé !,X è specchiato!
tl,settings:settings.gameMode.mosaicDesc,0.79,0.458,0.624,Remplissez ou videz les cases pour que chaque indice corresponde au nombre de voisins remplis.,Punan o iwanang blangko ang mga cell para tumugma ang bawat clue number sa bilang ng mga kapit-bahay nito.
mr,game:trace.settings.guide.holdMindful,0.759,0.489,0.624,Maintenez la case pendant {{seconds}} s,{{seconds}}s साठी सेल धरून ठेवा
pl,settings:settings.brainworkshop.selfPaced,0.743,0.505,0.624,Mode auto-rythmé,Tryb własnego tempa
ur,tutorial:tutorial.report.actions.retryTutorial,0.601,0.647,0.624,Recommencer le tutoriel,ٹیوٹوریل دوبارہ
th,stats:stats.journey.classic,0.775,0.473,0.624,Parcours Neurodual,การเดินทาง NeuroDual
ko,game:trace.settings.showProgressBar,0.594,0.654,0.624,Barre de progression,진행 바 표시
ro,game:game.binding.title,0.78,0.468,0.624,Liaison de traits,Legarea caracteristicilor
sw,auth:auth.resetPassword.successTitle,0.759,0.489,0.624,Mot de passe mis à jour !,Nenosiri limesasishwa!
cs,settings:settings.gameMode.paperFoldingDesc,0.757,0.491,0.624,Prédisez les motifs de trous après pliage mental.,Po mentálním skládání papíru předvídejte vzory děr.
fa,game:game.doubleDecision.minDisplayReached,0.688,0.56,0.624,Affichage min. atteint,حداقل نمایش رسید
hi,game:game.weatherPrediction.learningCurve,0.623,0.625,0.624,Courbe d'apprentissage,सीखने की अवस्था
ar,game:game.sart.commissionErrors,0.704,0.544,0.624,Commission errors,أخطاء الإقدام
th,home:cognitive.profileSessionsCount,0.724,0.524,0.624,{{count}} parties,{{count}} เซสชัน
vi,stats:stats.contextual.sublines.analystDieselV1,0.802,0.446,0.624,"Départ lent, fin solide : vous montez en régime.","Bắt đầu chậm, kết thúc mạnh: bạn đã khởi động."
ru,settings:settings.config.scorableTrials,0.713,0.535,0.624,Essais scorables,Оцениваемые пробы
sv,home:cognitive.profileStrongest,0.638,0.61,0.624,Dominante {{label}},Starkast: {{label}}
km,game:game.cogTask.retainCue,0.707,0.541,0.624,Retenez l'indice...,ចងចាំការណែនាំ...
ta,game:game.cogTask.equationAccuracy,0.751,0.497,0.624,Précision équations,சமன்பாடு துல்லியம்
bn,stats:stats.unifiedReport.confidence.components.inhibitionHelp,0.806,0.442,0.624,"Inhibition : moins il y a d'appuis sur des non-cibles (fausses alarmes), plus le score est élevé.","নিষেধাজ্ঞা: কম অ-টার্গেট প্রেস (মিথ্যা অ্যালার্ম), স্কোর তত বেশি।"
cs,settings:settings.modeSections.digitSpan.base.subtitle,0.773,0.475,0.624,Empan et essais,Rozpětí a zkoušky
my,stats:stats.unifiedReport.journeyCurrentStateLink,0.74,0.508,0.624,Ouvrir la session actuelle du parcours,လက်ရှိ ခရီးဆက်ရှင်ကို ဖွင့်ပါ။
cs,stats:stats.contextual.sublines.falseAlarmsDetailedV2,0.796,0.452,0.624,Non-cibles signalées : {{fa}}/{{nonTargets}}. Critère de match trop permissif.,Označené necíle: {{fa}}/{{nonTargets}}. Kritérium shody je příliš tolerantní.
uk,game:game.cogTask.crowding.heroTitle,0.761,0.487,0.624,Encombrement visuel,Візуальне скупчення
fi,settings:settings.gameMode.statisticalLearningDesc,0.77,0.478,0.624,Extrayez des regularites de flux visuels/auditifs.,Poimi kuvioita visuaalisista/kuulovirroista.
vi,game:game.ufov.usefulFieldOfView,0.697,0.551,0.624,Champ visuel utile,Trường quan sát hữu ích
pl,badges:badges.comeback_strong.name,0.766,0.482,0.624,Retour en Force,Mocny Powrót
id,settings:settings.gameMode.speedPackDesc,0.781,0.467,0.624,Visualisez comment les objets s'emboîtent à la fermeture.,Visualisasikan bagaimana objek pas ketika wadah ditutup.
km,settings:settings.freeTrainingCards.presetCustomizeTitle,0.748,0.5,0.624,Personnaliser · {{preset}},ប្ដូរតាមបំណង · {{preset}}
sw,settings:settings.ufov.sessionVariantDesc,0.791,0.457,0.624,Quelles sous-tâches UFOV inclure dans la session.,Ambayo UFOV ina majukumu madogo ya kujumuisha kwenye kikao.
ms,home:ospan.measure.sessionCount,0.819,0.43,0.6244999999999999,{{count}} mesures valides,{{count}} pengukuran sah
ro,game:game.binding.bindingAccuracyChanged,0.814,0.435,0.6244999999999999,Précision changement,Schimbați precizia
hu,journey:journey.deleteConfirmTitle,0.816,0.433,0.6244999999999999,Supprimer ce parcours ?,Törlöd ezt az utazást?
da,journey:journey.created,0.802,0.447,0.6245,Parcours créé !,Rejsen er skabt!
uk,game:game.rhythm.tooFarOff,0.697,0.552,0.6245,Trop imprécis !,Надто далеко!
pl,game:game.reversalLearning.title,0.798,0.451,0.6245,Apprentissage par inversion,Uczenie odwrotne
no,stats:stats.unifiedReport.wrongSlotDwell,0.758,0.491,0.6245,Temps sur mauvais slot,Tid på feil spor
sv,settings:settings.gameMode.oddOneOutDesc,0.748,0.501,0.6245,Repérez l'élément différent dans une grille de formes similaires.,Hitta det avvikande objektet i ett rutnät av liknande former. Visuell diskriminering.
mr,game:game.gazeDirection.title,0.746,0.503,0.6245,Direction du regard,टक लावून पाहण्याची दिशा
ms,home:cognitive.calibrationReady,0.78,0.469,0.6245,Calibration prête,Penentukuran sedia
pl,game:game.cogTask.readingSpan.heroTitle,0.686,0.563,0.6245,Empan de lecture,Rozpiętość czytania
ur,stats:stats.contextual.insights.fastRTV2,0.605,0.644,0.6245,TR excellent : {{rt}}ms,زمن ردعمل ممتاز: {{rt}} مللي ثانية
pt,stats:stats.contextual.sublines.analystStabilityExpertV2,0.806,0.443,0.6245,Timing très régulier : vous êtes bien calé.,Ritmo muito regular: está bem calibrado.
ur,game:game.cogTask.posner.invalidTrials,0.731,0.518,0.6245,Essais invalides,ٹرائلز غير صالحة
km,game:game.dualTime.resumeToContinue,0.795,0.454,0.6245,Reprendre pour continuer,បន្ត to continue
ur,game:game.cogTask.estimationPrecision,0.76,0.489,0.6245,Précision de l'estimation,درستگی اندازہ
ru,settings:settings.accessibility.hapticEnabled,0.567,0.682,0.6245,Retour haptique,Тактильная обратная связь
ko,settings:settings.gameMode.mosaicDesc,0.728,0.521,0.6245,Remplissez ou videz les cases pour que chaque indice corresponde au nombre de voisins remplis.,단서 숫자에 따라 칸을 채우거나 비우세요.
ur,game:game.speechInNoise.whichWordWasIt,0.781,0.468,0.6245,Quel était le mot ?,ما لفظ؟
zh,game:game.tower.previewPlanCountdown,0.796,0.453,0.6245,Planifie la solution en {{moves}} coups. Début dans {{seconds}}s.,在 {{moves}} 步内规划解法。{{seconds}}秒后开始。
sw,settings:settings.gameMode.lightsOutDesc,0.781,0.468,0.6245,Appuyez sur les cases pour éteindre toutes les lumières. Chaque tap inverse aussi les cases adjacentes.,Geuza seli ili kuzima taa zote. Kila bomba hugeuza seli zilizo karibu pia.
sv,game:game.rvp.targetSequences,0.719,0.53,0.6245,Séquences cibles,Målsekvenser
te,stats:stats.advanced.medianDuring,0.731,0.518,0.6245,Médiane (pendant),మధ్యస్థ (సమయంలో)
uk,settings:settings.dualTrack.depthModeDesc,0.775,0.474,0.6245,Ajoute des indices de pseudo-3D pour mieux distinguer les boules qui se chevauchent.,"Додає псевдо-3D підказки глибини для розрізнення куль, що накладаються."
ar,game:game.cogTask.wasLetterInSet,0.727,0.522,0.6245,Cette lettre était-elle dans l'ensemble ?,هل كان هذا الحرف ضمن المجموعة؟
bn,settings:settings.gameMode.fauxPas,0.739,0.51,0.6245,Reconnaissance de faux pas,ভুল পাস স্বীকৃতি
hi,stats:stats.contextual.sublines.missedTargetsV2,0.751,0.498,0.6245,{{misses}} cibles manquées sur {{total}} : plutôt un décrochage qu'une sur-réponse.,"{{total}} में से {{misses}} लक्ष्य छूटे: यह अति-प्रतिक्रिया नहीं, बल्कि ध्यान-भंग है।"
sv,badges:badges.sessions_25.name,0.786,0.463,0.6245,Pilier (Argent),Pelare (Silver)
my,settings:settings.personalization.accentHint,0.665,0.584,0.6245,Change la couleur des boutons et des mises en avant,ခလုတ်များနှင့် အရောင်ကို အသားပေးဖော်ပြသည်။
hu,settings:settings.gameMode.artificialGrammarDesc,0.705,0.544,0.6245,Classez des chaines comme grammaticales apres exposition implicite.,Osztályozz karakterláncokat nyelvtanilag implicit tanulás után.
id,game:game.cogTask.retainCue,0.674,0.575,0.6245,Retenez l'indice...,Ingat isyaratnya...
hu,game:game.feelingOfKnowing.recallAccuracy,0.713,0.536,0.6245,Précision de rappel,Felidézési pontosság
km,settings:settings.ufov.peripheralDistance,0.807,0.442,0.6245,Distance périphérique,ចម្ងាយគ្រឿងកុំព្យូទ័រ
th,stats:stats.tooltips.falseAlarmsDesc,0.761,0.488,0.6245,Fausses alertes : quand vous avez répondu sans qu'il y ait de match. Souvent lié à l'impulsivité.,สัญญาณเท็จ: เมื่อคุณตอบสนองแต่ไม่มีการจับคู่ มักบ่งบอกความหุนหันหรือความสับสน
bn,settings:settings.gameMode.reflexDesc,0.809,0.44,0.6245,"Tapez les cibles vertes, ignorez les leurres rouges. Vitesse et inhibition sous pression.","সবুজ লক্ষ্যে আলতো চাপুন, লাল লোভ উপেক্ষা করুন। চাপে গতি এবং বাধা।"
ja,stats:stats.contextual.sublines.falseAlarmsDetailedV2,0.752,0.497,0.6245,Non-cibles signalées : {{fa}}/{{nonTargets}}. Critère de match trop permissif.,非ターゲットへの反応：{{fa}}/{{nonTargets}}。一致基準が甘すぎる可能性があります。
sv,settings:settings.personalization.textSizeSet,0.795,0.454,0.6245,Regler a {{value}}%,Satt till {{value}}%
tl,game:game.cogTask.stopSignal.meanGoRt,0.731,0.518,0.6245,Temps de réaction GO moyen,"Ibig sabihin, oras ng reaksyon ng GO"
th,tutorial:tutorial.postlude.levels.title,0.687,0.562,0.6245,Comprendre les niveaux,ทำความเข้าใจระดับ N
bn,game:game.memobox.roundOf,0.798,0.451,0.6245,Manche {{current}} sur {{total}},{{total}} এর রাউন্ড {{current}}
bn,game:game.fauxPas.title,0.739,0.51,0.6245,Reconnaissance de faux pas,ভুল পাস স্বীকৃতি
sv,game:game.delayedMatching.title,0.687,0.562,0.6245,Appariement différé,Fördröjd matchning
ar,settings:settings.accessibility.hapticDesc,0.744,0.505,0.6245,Vibrations sur les actions,اهتزازات عند تنفيذ الإجراءات
hu,game:game.designFluency.youCreatedDesigns,0.779,0.47,0.6245,Vous avez créé {{count}} motifs,{{count}} tervet készítettél
mr,settings:settings.gameMode.gazeDirection,0.746,0.503,0.6245,Direction du regard,टक लावून पाहण्याची दिशा
no,game:game.rvp.targetSequences,0.719,0.53,0.6245,Séquences cibles,Målsekvenser
ta,stats:stats.unifiedReport.bwMessages.up,0.734,0.515,0.6245,Score excellent ! Vous montez au niveau supérieur.,சிறந்த மதிப்பெண்! நீங்கள் சமன்.
de,game:game.wordChain.avgResponseTime,0.733,0.516,0.6245,Temps de réponse moy.,Ø Antwortzeit
vi,stats:stats.unifiedReport.bwDown,0.661,0.588,0.6245,Retour en arrière,Lùi lại
ja,stats:stats.unifiedReport.journeyMoreRecentSessionNotice,0.731,0.518,0.6245,Vous avez une session plus récente dans ce parcours : N-{{level}} ({{date}}).,このジャーニーにより新しいセッションがあります: N-{{level}} ({{date}})。
zh,tutorial:tutorial.report.statusMessage.stay,0.655,0.594,0.6245,Presque. Un peu plus d'entrainement et ce sera bon.,差一点了，再练习一下就能掌握。
uk,settings:settings.premium.bestValue,0.647,0.602,0.6245,Meilleur rapport,Найкраща ціна
bn,stats:stats.advanced.computedRtCoverage,0.695,0.554,0.6245,Couverture TR haute précision,উচ্চ-নির্ভুল RT কভারেজ
nl,game:game.verbalFluency.nextRound,0.743,0.506,0.6245,Manche suivante,Volgende ronde
fa,game:game.puzzle.totalUndos,0.799,0.45,0.6245,Annulations totales,کل برگرداندن‌ها
my,settings:settings.audio.pronouncedLetters,0.682,0.567,0.6245,Lettres prononcées,အသံထွက်စာလုံးများ
sw,game:game.reyFigure.countBackwardsBy7,0.753,0.496,0.6245,Comptez à rebours de 7 en 7,Hesabu kwenda nyuma kwa 7
th,game:game.tower.undoneMessage,0.747,0.502,0.6245,Dernier coup annulé.,การย้ายครั้งล่าสุดถูกยกเลิก
pl,settings:settings.gameMode.reversalLearning,0.798,0.451,0.6245,Apprentissage par inversion,Uczenie odwrotne
bn,tutorial:tutorial.memo.observeFirst,0.796,0.453,0.6245,Premier stimulus. Mémorisez bien la position ET la lettre !,প্রথম উদ্দীপনা। পদ এবং চিঠি উভয় মুখস্থ!
km,game:game.rhythm.tooFarOff,0.713,0.536,0.6245,Trop imprécis !,ឆ្ងាយពេក!
ms,game:game.fittsTapping.avgMovementTime,0.704,0.545,0.6245,Temps de mouvement moy.,Purata Masa Pergerakan
ko,game:game.tower.previewMemoryCountdown,0.685,0.564,0.6245,Mémorise l'objectif. Début dans {{seconds}}s.,목표를 외우세요. {{seconds}}초 후 시작합니다.
hu,game:game.judgmentOfLearning.recallAccuracy,0.713,0.536,0.6245,Précision de rappel,Felidézési pontosság
id,game:game.attentionalCapture.title,0.791,0.458,0.6245,Capture attentionnelle,Penangkapan Perhatian
th,game:game.gridlock.undone,0.747,0.502,0.6245,Dernier coup annulé.,การย้ายครั้งล่าสุดถูกยกเลิก
ru,stats:report.dualTrack.bestCompleted,0.731,0.518,0.6245,Meilleur niveau validé,Лучший пройденный этап
tr,game:game.oddOneOut.colorDiffAccuracy,0.785,0.464,0.6245,Précision couleur,Renk farkı doğruluk
th,home:cognitive.calibrationReady,0.66,0.589,0.6245,Calibration prête,การสอบเทียบพร้อม
da,game:game.rvp.targetSequences,0.719,0.53,0.6245,Séquences cibles,Målsekvenser
ja,game:game.ambiguousFigures.meanSwitches,0.608,0.641,0.6245,Basculements moyens,平均切り替え回数
ru,settings:settings.accessibility.hapticFeedback,0.567,0.682,0.6245,Retour haptique,Тактильная обратная связь
sw,tutorial:tutorial.memo.newStimulus,0.734,0.516,0.625,Nouveau stimulus ! La fenêtre N-back glisse d'un cran.,Kichocheo kipya! Dirisha la N-nyuma hubadilika kwa moja.
hu,journey:journey.validation.needed,0.748,0.502,0.625,{{count}} session(s) restante(s),{{count}} munkamenet hátravan
pt,game:game.puzzle.maxTileReached,0.751,0.499,0.625,Tuile max atteinte,Peça máxima atingida
mr,tutorial:tutorial.pick.positionPractice,0.781,0.469,0.625,À vous ! Classez cette position.,तुमची पाळी! या स्थितीचे वर्गीकरण करा.
ar,tutorial:tutorial.pick.soundVoyelle,0.819,0.431,0.625,Vous entendez A. C'est une voyelle. Cliquez sur VOYELLE.,تسمع A. إنه حرف علة. انقر على حرف علة.
mr,stats:report.readingSpan.performanceBySpan,0.804,0.446,0.625,Performance par niveau d'empan,स्पॅन पातळीनुसार कामगिरी
hi,home:home.synergy.complete,0.67,0.58,0.625,Synergie terminée,सिनर्जी पूर्ण
mr,settings:settings.gameMode.palisadeDesc,0.788,0.462,0.625,Divisez la grille en régions égales connectées selon les indices de bordure.,बॉर्डर क्लू वापरून ग्रिडला समान-आकाराच्या जोडलेल्या प्रदेशांमध्ये विभाजित करा.
bn,settings:settings.memoryMatch.boardsDesc,0.726,0.524,0.625,Nombre de plateaux à compléter par session.,প্রতি সেশনে বোর্ডের সংখ্যা।
mr,home:home.synergy.complete,0.67,0.58,0.625,Synergie terminée,सिनर्जी पूर्ण
my,game:game.rhythm.avgTimingError,0.647,0.603,0.625,Erreur de timing moy.,ပျမ်းမျှ အချိန်ကိုက်မှု အမှား
da,settings:settings.brainworkshop.selfPaced,0.774,0.476,0.625,Mode auto-rythmé,Selv-tempo tilstand
ru,settings:settings.trace.sequentialTrace,0.777,0.473,0.625,Swipes séquentiels,Последовательные свайпы
nl,stats:report.goNogo.correctRejections,0.701,0.549,0.625,Rejets corrects,Juiste afwijzingen
ta,game:game.emotionalGoNogo.block2CommissionErrors,0.717,0.533,0.625,Erreurs commission bloc 2,2 கமிஷன் பிழைகளைத் தடு
fa,stats:stats.unifiedReport.dualnbackClassicRuleStay,0.767,0.483,0.625,3 à 5 erreurs / modalité : Maintien,۳-۵ خطا/مدالیته: بمون
ar,settings:settings.config.modalities,0.711,0.539,0.625,Modalités actives,الوسائط النشطة
bn,game:game.vernierAcuity.leftOffset,0.773,0.477,0.625,Décalage gauche,বাম অফসেট
mr,legal:legal.privacy.section11.responsible,0.736,0.514,0.625,Responsable du traitement : AGUILAL Abdeslam,डेटा नियंत्रक: AGUILAL Abdeslam
te,settings:settings.trace.feedbackDurationHint,0.721,0.529,0.625,Temps du retour visuel,దృశ్యమాన అభిప్రాయం కోసం సమయం
uk,stats:stats.tooltips.faRateDesc,0.759,0.491,0.625,Proportion de fausses alertes parmi les non-matchs. FA / (FA + CR). Plus bas = mieux.,Частка хибних тривог серед нецілей. FA / (FA + Правильні відхилення). Нижче — краще.
vi,settings:settings.dualTrack.totalObjectsMode,0.805,0.445,0.625,Nombre de billes,Số lượng bóng
sv,home:home.synergy.reportHeadlineGood,0.697,0.553,0.625,Bonne boucle Synergie,Solid Synergi-loop
fi,game:game.verbalFluency.nextRound,0.727,0.523,0.625,Manche suivante,Seuraava kierros
ta,game:game.affectiveGoNogo.block2CommissionErrors,0.717,0.533,0.625,Erreurs commission bloc 2,2 கமிஷன் பிழைகளைத் தடு
ur,settings:settings.gameMode.alternateUsesDesc,0.797,0.453,0.625,Listez des usages creatifs pour un objet commun.,فہرست creative uses کے لیے ایک عام شے۔
hu,stats:report.modeScore.traceAccuracy,0.695,0.555,0.625,Précision tracé,Nyomkövetési pontosság
hu,game:game.vernierAcuity.leftOffset,0.811,0.439,0.625,Décalage gauche,Bal eltolás
mr,game:game.auditoryDuration.firstLonger,0.771,0.479,0.625,Le premier est plus long,प्रथम अधिक काळ
km,home:home.challengeSettings,0.791,0.459,0.625,Réglages du challenge,ការប្រកួតប្រជែង settings
sw,game:game.memobox.roundOf,0.774,0.476,0.625,Manche {{current}} sur {{total}},Mzunguko {{current}} kati ya {{total}}
tl,game:trace.settings.guide.swipeMindful,0.797,0.453,0.625,Glissez en {{seconds}} s,Mag-swipe sa {{seconds}}s
hu,game:game.attentionalCapture.singletonPresent,0.676,0.574,0.625,Singleton présent,Szingleton jelen
th,settings:settings.modeSections.brainworkshop.generator.subtitle,0.763,0.487,0.625,"Matches garantis, interférence et multi-stimulus",รับประกันการแข่งขัน การรบกวน และการกระตุ้นหลายอย่าง
uk,stats:stats.advanced.filteredTouchBounce,0.71,0.54,0.625,Filtré (rebond tactile),Відфільтровано (відскок дотику)
sv,game:game.iowaGambling.chooseADeck,0.749,0.501,0.625,Choisissez un paquet,Välj ett däck
sw,common:aria.ravensMatrix,0.801,0.449,0.625,Puzzle de matrices de Raven,Puzzle ya tumbo la Raven
km,home:home.challenge.settings.title,0.791,0.459,0.625,Réglages du challenge,ការប្រកួតប្រជែង settings
nl,game:game.negativePriming.positivePrimingRt,0.79,0.46,0.625,TR d'amorçage positif,Positieve priming RT
es,stats:stats.unifiedReport.hybridJourneyMessages.stayProgressTitle,0.769,0.481,0.625,Cap maintenu {current}/{total},Rumbo mantenido {current}/{total}
uk,settings:settings.gameMode.brownPetersonDesc,0.774,0.476,0.625,Retenez des informations pendant une tâche distractrice de comptage à rebours,Утримуй інформацію під час відволікаючого рахунку назад
bn,stats:stats.contextual.sublines.simpleModalityWeakV1,0.769,0.481,0.625,{{modality}} : {{hits}}/{{total}} (canal à renforcer).,{{modality}}: {{hits}}/{{total}} (কাজের প্রয়োজন)।
ur,game:game.doubleDecision.vehicleAccuracy,0.761,0.49,0.6255,Précision véhicule,درستگی المركبة
el,journey:journey.created,0.815,0.436,0.6255,Parcours créé !,Το ταξίδι δημιουργήθηκε!
fi,settings:settings.trace.mindfulWritingTolerance,0.692,0.559,0.6255,Tolérance écriture,Kirjoitustoleranssi
hi,settings:settings.modeSections.spotDiff.base.subtitle,0.764,0.487,0.6255,Difficulté et manches,कठिनाई और राउंड
hu,game:game.iedSetShift.correctNeeded,0.681,0.57,0.6255,Corrects nécessaires pour avancer,Helyes válasz szükséges a továbblépéshez
tr,common:aria.tutorialIntro,0.749,0.502,0.6255,Introduction du tutoriel,Öğretici giriş
th,game:game.tower.undoDescription,0.733,0.518,0.6255,Annuler le dernier coup,ย้อนกลับการเคลื่อนไหวครั้งสุดท้าย
ar,home:home.synergy.reportHeadlineExcellent,0.599,0.652,0.6255,Excellente boucle Synergie,حلقة تآزر قوية جداً
da,game:game.predictionMotion.title,0.712,0.539,0.6255,Prediction de mouvement,Forudsigelsesbevægelse
ar,stats:stats.tooltips.omissionsDesc,0.768,0.483,0.6255,Matchs manqués : quand il y avait un match mais vous n'avez pas répondu. Souvent lié à l'inattention.,تطابقات ضائعة: كان هناك تطابق لكنك لم تستجب. غالبًا مرتبط بالسهو أو شرود الانتباه.
ja,game:game.proverbInterpretation.literalErrorRate,0.815,0.436,0.6255,Taux d'erreurs littérales,逐語的エラー率
zh,game:game.cogTask.longestStreak,0.744,0.507,0.6255,Plus longue série correcte,最长连续正确数
hi,journey:journey.sessionSettings,0.716,0.535,0.6255,Réglages des parties,सत्र सेटिंग्स
zh,home:ospan.measure.sessionCount,0.813,0.438,0.6255,{{count}} mesures valides,{{count}} 次有效测量
te,settings:settings.legal.mentions,0.763,0.488,0.6255,Mentions légales,లీగల్ నోటీసు
ja,game:game.syncHud.pinTitle,0.777,0.474,0.6255,Épingler à l'écran,画面に固定する
da,settings:settings.gameMode.predictionMotion,0.712,0.539,0.6255,Prediction de mouvement,Forudsigelsesbevægelse
sv,stats:stats.unifiedReport.stayAtLevel,0.771,0.48,0.6255,S'entraîner sur N-{level},Öva N-{level}
ko,stats:stats.contextual.sublines.balancedV2,0.705,0.546,0.6255,Modalités homogènes sur cette session.,이번 세션에서 모달리티가 균일합니다.
ja,stats:stats.contextual.sublines.simpleBalancedExpertV2,0.678,0.573,0.6255,Modalités homogènes sur cette session.,このセッションではモダリティがかなり均等。
km,stats:stats.placeholders.simplePerformanceTitle,0.703,0.548,0.6255,Performance détaillée par mode,ដំណើរការលម្អិតដោយរបៀប
te,stats:stats.contextual.sublines.analystVariableRt,0.663,0.588,0.6255,Rythme variable sur la session. Fixez un tempo et validez un peu plus tard.,ఈ సెషన్‌లో వేరియబుల్ ప్రతిస్పందన సమయం. చిట్కా: స్థిరమైన లయను అనుసరించండి మరియు కొంచెం తర్వాత ప్రతిస్పందించండి.
no,game:game.cogTask.speedPack.whenFoldedWhichTouch,0.748,0.503,0.6255,"Une fois plié, quels carrés se touchent ?",Hvilke ruter berører når de er brettet?
vi,game:game.affectiveGoNogo.title,0.76,0.491,0.6255,Go/No-Go affectif,Có ảnh hưởng Đi/Không đi
ur,game:game.perspectiveTaking.withinTolerance,0.725,0.526,0.6255,Dans la tolérance,اندر tolerance
uk,stats:stats.simple.accuracyTrend,0.767,0.484,0.6255,Tendance précision,Тренд точності
vi,game:recovery.modes.flowTraining,0.741,0.51,0.6255,Entraînement Dual Place,Đào tạo ở vị trí kép
zh,stats:stats.tooltips.hesitationDesc,0.743,0.508,0.6255,Temps total passé à survoler les mauvais emplacements avant de déposer. Moins d'hésitation indique plus de confiance.,在错误位置上悬停的总时间。犹豫越少说明信心越高。
fa,stats:stats.tooltips.omissionsDesc,0.768,0.483,0.6255,Matchs manqués : quand il y avait un match mais vous n'avez pas répondu. Souvent lié à l'inattention.,تطابقات ضائعة: كان هناك تطابق لكنك لم تستجب. غالبًا مرتبط بالسهو أو شرود الانتباه.
tr,stats:stats.contextual.sublines.analystPesVigilantV2,0.779,0.472,0.6255,"Après une erreur, vous prenez le temps de vérifier : vigilance au rendez-vous.",Hatadan sonra doğrulamak için duruyorsun: iyi dikkat.
fa,stats:stats.placeholders.advancedEvolutionTitle,0.74,0.511,0.6255,Évolution avancée par mode,روندهای پیشرفته بر اساس حالت
ja,game:game.twentyQuestions.avgQuestionsUsed,0.625,0.626,0.6255,Questions utilisées moy.,平均使用質問数
es,game:game.temporalGeneralization.hitRateDetectStandard,0.74,0.511,0.6255,Taux de détection (standard),Tasa de aciertos (estándar detectado)
ja,stats:stats.contextual.sublines.impulsiveV3,0.764,0.487,0.6255,{{fa}} réponses trop rapides sur non-cibles.,非ターゲットへの早まった反応が{{fa}}回ありました。
ja,game:game.cognitiveBias.biasResistance,0.759,0.492,0.6255,Résistance au biais,バイアス耐性
pl,legal:legal.mentions.title,0.686,0.565,0.6255,Mentions Légales,Informacje Prawne
tl,game:game.cogTask.soroban.settingsRods,0.787,0.464,0.6255000000000001,Nombre de tiges,Bilang ng mga tungkod
vi,tutorial:tutorial.annotations.noMatch2,0.807,0.444,0.6255000000000001,Toujours pas de match. Restez attentif au flux position + son.,Vẫn không trùng. Tập trung vào dòng vị trí + âm thanh.
id,settings:settings.gameMode.contrastSensitivityDesc,0.791,0.46,0.6255000000000001,Détectez des réseaux à des niveaux de contraste décroissants.,Deteksi kisi-kisi pada tingkat kontras yang menurun.
